,show_id,type,title,director,country/region,date_added,release_year,rating,duration1,duration,listed_in1,listed_in,description
2245,80214087,Movie,Jimmy Carr: The Best of Ultimate Gold Greatest Hits,Brian Klein,,2019,2019,TV-MA,58 min,58,Stand-Up Comedy,Stand-Up Comedy,Nothing is off limits as Jimmy Carr serves up the most outrageous jokes from his stand-up career in a special that's not for the faint of heart.
2818,70224969,Movie,Felipe Esparza: They're Not Going to Laugh at You,Scott L. Montoya,United States,2018,2012,NR,58 min,58,Stand-Up Comedy,Stand-Up Comedy,"""Last Comic Standing"" winner Felipe Esparza runs riot in his first comedy special with his wry comments on life as a wild man from East Los Angeles."
2891,80213654,Movie,D.L. Hughley: Contrarian,Jay Chapman,United States,2019,2018,TV-MA,58 min,58,Stand-Up Comedy,Stand-Up Comedy,"D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia."
3168,80114498,Movie,Exit Afghanistan,"Anders S_¸mme Hammer, Marius Arnesen, Klaus Erik Okstad, Olav Njaastad",Norway,2016,2013,TV-MA,58 min,58,"Documentaries, International Movies",Documentaries,"Featuring interviews with participants on all sides, this documentary questions Norway and the West's protracted military involvement in Afghanistan."
3840,80002073,Movie,Ghost Pain,"Kazuchika Kise, Masahiko Murata",Japan,2019,2013,NR,58 min,58,"Action & Adventure, Anime Features, International Movies",Action & Adventure,"World War IV is over, but a bomb has gone off in Newport City, killing a major arms dealer who may have ties with the mysterious 501 Organization."
3841,80021983,Movie,Ghost Tears,Kazuchika Kise,Japan,2019,2014,NR,58 min,58,"Action & Adventure, Anime Features, International Movies",Action & Adventure,"As Motoko and Batou attempt to thwart a mysterious terrorist group, Togusa tracks the killer of a man with a prosthetic leg made by Mermaid's Leg."
4251,81045517,Movie,Gina Yashere: Skinny B*tch,,United Kingdom,2018,2008,TV-MA,58 min,58,Stand-Up Comedy,Stand-Up Comedy,"Standup comedian and ""Daily Show"" correspondent Gina Yashere delivers a sharp set of wry observations on the environment, money and more."
5153,80185861,Movie,The Truth About Alcohol,David Briggs,United Kingdom,2017,2016,TV-14,58 min,58,"Documentaries, International Movies",Documentaries,"Emergency room doctor Javid Abdelmoneim endeavors to learn the truth about alcohol, both its benefits and risks, by exploring the science of drinking."
681,80043049,Movie,Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,United States,2015,2015,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
773,80205204,Movie,Christina P: Mother Inferior,Jay Karas,United States,2017,2017,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth."
807,81191254,Movie,Limitless,Vrinda Samartha,India,2019,2017,TV-PG,59 min,59,"Documentaries, International Movies, Sports Movies",Documentaries,This documentary follows eight women in India who struggle with self-confidence and society's expectations but rediscover themselves through running.
1219,80191051,Movie,ReMastered: Tricky Dick & The Man in Black,Sara Dosa,United States,2018,2018,TV-MA,59 min,59,"Documentaries, Music & Musicals",Documentaries,"This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies."
1322,81078466,Movie,Jeff Garlin: Our Man In Chicago,Christopher Storer,United States,2019,2019,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"Comedian Jeff Garlin (unintentionally) celebrates his 37th year of stand-up and shares his learnings on love, loss, success and food addiction."
1526,80144358,Movie,A Grand Night In: The Story of Aardman,Richard Mears,United Kingdom,2016,2015,TV-PG,59 min,59,Documentaries,Documentaries,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary."
1741,80133551,Movie,Tracy Morgan: Staying Alive,Ryan Polito,United States,2017,2017,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."
2009,80119192,Movie,Nazi Concentration Camps,George Stevens,United States,2017,1945,TV-MA,59 min,59,"Classic Movies, Documentaries",Classic Movies,"Shocking footage shows Nazi concentration camps after liberation, including Buchenwald and Ohrdruf, where Gen. Eisenhower ordered local Nazis to tour."
2325,80203919,Movie,Adel Karam: Live from Beirut,,United States,2018,2018,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco."
2613,80993404,Movie,Adam Devine: Best Time of Our Lives,Jay Karas,United States,2019,2019,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha."
2811,80213715,Movie,Whitney Cummings: Can I Touch It?,Marcus Raboy,,2019,2019,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"In her fourth stand-up special, Whitney Cummings returns to her hometown of Washington, D.C., and riffs on modern feminism, technology and more."
2998,80044126,Movie,D.L. Hughley: Clear,Jay Chapman,United States,2017,2014,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"In this 2014 standup special filmed in San Francisco, comedic genius D.L. Hughley entertains with his hilarious take on current affairs and more."
3303,80192062,Movie,Ricardo Quevedo: Hay gente as_­,"Ra_ºl Campos, Jan Suter",Colombia,2018,2018,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"Droll comic Ricardo Quevedo hits Bogot_¡ with a set that touches on embarrassing misunderstandings, sex talk, the thrill of being scared and more."
3775,80216779,Movie,"Ray Romano: Right Here, Around the Corner",Michael Showalter,United States,2019,2019,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began."
4124,80191044,Movie,ReMastered: Who Killed Jam Master Jay?,Brian Oakes,,2018,2018,TV-MA,59 min,59,"Documentaries, Music & Musicals",Documentaries,Run-DMC DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.
4771,81143771,Movie,Enter the Anime,Alex Burunova,"United States, Japan",2019,2019,TV-MA,59 min,59,"Documentaries, International Movies",Documentaries,"What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced peek behind the curtain seeks to find the answers."
5151,80080106,Movie,The Bomb,"Kevin Ford, Smriti Keshari, Eric Schlosser",United States,2017,2016,TV-14,59 min,59,Documentaries,Documentaries,"Form, montage and mesmerizing kinetics propel this experimental meditation on the destructive power of the nuclear bomb, featuring music by The Acid."
5250,81026008,Movie,Ricardo Quevedo: Los amargados somos m_¡s,Fernando Ayll_³n,,2019,2019,TV-MA,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"From how social media can ruin relationships to the perils of buying a gift for a woman, comic Ricardo Quevedo dissects life's trials and tribulations."
5394,80999069,Movie,Super Monsters Furever Friends,,,2019,2019,TV-Y,59 min,59,Children & Family Movies,Children & Family Movies,"On the first night of spring, the Super Monsters gather for food, fun and games in the park _ and get to meet their adorable new pets!"
5463,81026007,Movie,Liss Pereira: Reteniendo l_­quidos,Fernando Ayll_³n,Brazil,2019,2019,TV-14,59 min,59,Stand-Up Comedy,Stand-Up Comedy,"A pregnant Liss Pereira shares hilariously uncomfortable truths about sex, love, attraction and the lies we tell in modern relationships."
7,80164077,Movie,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Chile,2017,2017,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
18,80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,"Munjal Shroff, Tilak Shetty",,2017,2013,TV-Y7,60 min,60,Children & Family Movies,Children & Family Movies,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
210,80108371,Movie,Cedric the Entertainer: Live from the Ville,Troy Miller,United States,2016,2016,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
618,80988048,Movie,The Meaning of Monty Python,Albert Sharpe,United States,2018,2013,TV-MA,60 min,60,Documentaries,Documentaries,"Five Pythons reflect on their creative process, politics, television and the making of their award-winning final film, ""The Meaning of Life."""
1266,81162089,Movie,GO! The Unforgettable Party,Mauro Scandolari,Argentina,2019,2019,TV-PG,60 min,60,"Children & Family Movies, Music & Musicals",Children & Family Movies,"M_­a's vacation with her dad is disrupted by the surprise arrival of Lupe, Mercedes, Juanma and _lvaro as their school drama moves lakeside."
1580,80101493,Movie,Ali Wong: Baby Cobra,Jay Karas,United States,2016,2016,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible."
1871,80223149,Movie,The Carter Effect,Sean Menard,United States,2018,2017,TV-14,60 min,60,"Documentaries, Sports Movies",Documentaries,"Featuring eight-time NBA All-Star Vince Carter, this documentary takes an in-depth look at his impact on pop culture and the Canadian basketball scene."
2098,81049949,Movie,Antoine Griezmann: The Making of a Legend,,,2019,2019,TV-PG,60 min,60,"Documentaries, International Movies, Sports Movies",Documentaries,"With heart and determination, Antoine Griezmann overcame his small stature to become one of the world__ top soccer players and a World Cup champion."
2499,80106124,Movie,Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",United States,2016,2016,TV-MA,60 min,60,"Music & Musicals, Stand-Up Comedy",Music & Musicals,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special."
2678,81002929,Movie,Jo Koy: Comin' In Hot,Shannon Hartman,United States,2019,2019,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more."
2780,80004286,Movie,"Monster High: Scaris, City of Frights","Dustin McKenzie, Andrew Duncan, Audu Paden",United States,2015,2013,TV-G,60 min,60,Children & Family Movies,Children & Family Movies,"When Clawdeen gets a chance to study with a top fashion designer, she and her pals hop on a plane to Scaris, France, the city where screams come true."
3094,70295560,Movie,Bo Burnham: what.,"Bo Burnham, Christopher Storer",United States,2018,2013,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,Left brain and right brain duke it out _ and ultimately belt out a melody _ in stand-up comedian Bo Burnham's quick and clever one-man show.
3373,80216224,Movie,Katt Williams: Great America,,United States,2018,2018,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"The King of underground comedy delivers unflinching riffs_on the American political climate, racial tensions, sex and his disdain for roast beef."
3475,80192136,Movie,Alejandro Ria_±o: Especial de stand up,,Colombia,2018,2018,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Colombian comedian Alejandro Ria_±o discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogot_¡ men and soccer game announcers."
3925,80191555,Movie,Agust_­n Aristar_¡n: Soy Rada,Mariano Baez,Argentina,2018,2018,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Argentine comedian Agust_­n ""Radagast"" Aristar_¡n adds doses of magic, music and acting to his high-energy stand-up routine."
4455,80039655,Movie,Mike Epps: Don't Take It Personal,L. Frazier,United States,2015,2015,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.
4508,60022041,Movie,Tom and Jerry: The Magic Ring,Phil Roman,,2019,2001,TV-Y7,60 min,60,"Children & Family Movies, Comedies",Children & Family Movies,"When a young wizard leaves Tom to guard his priceless magic ring, Jerry gets the ring stuck on his head, igniting a series of slapstick antics."
4608,81036542,Movie,Michelle Wolf: Joke Show,Lance Bangs,United States,2019,2019,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Comedian Michelle Wolf takes on outrage culture, massages, childbirth, feminism and much more (like otters) in a stand-up special from New York City."
5349,80174687,Movie,Kevin Hart: Irresponsible,Leslie Small,United States,2019,2019,TV-MA,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"As a father of three on his second marriage, Kevin Hart proves that being him is indeed a tall order in a fresh special inspired by his own mistakes."
5526,70298251,Movie,John Mulaney: New in Town,Ryan Polito,United States,2018,2012,NR,60 min,60,Stand-Up Comedy,Stand-Up Comedy,"Stand-up comedian John Mulaney tackles such red-hot topics as quicksand, Motown singers and an elderly man he once met in a bathroom."
15,80182482,Movie,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,,2017,2012,TV-Y7,61 min,61,Children & Family Movies,Children & Family Movies,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
533,81121023,Movie,My Next Guest with David Letterman and Shah Rukh Khan,Michael Steed,,2019,2019,TV-PG,61 min,61,International Movies,International Movies,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York."
862,80048200,Movie,Fishtail,Andrew Renzi,United States,2018,2015,NR,61 min,61,Documentaries,Documentaries,Harry Dean Stanton narrates this documentary that follows two modern-day cowboys as they welcome new calves at Montana's Fishtail Basin Ranch.
1035,81058497,Movie,Seth Meyers: Lobby Baby,Neal Brennan,United States,2019,2019,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,SNL alumnus and subversive master of late-night TV Seth Meyers comes out from behind the desk to share some lighthearted stories from his own life.
1117,80049871,Movie,Michael Che Matters,Oz Rodriguez,United States,2016,2016,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"""SNL"" star Michael Che takes on hot-button topics like inequality, homophobia and gentrification in this stand-up set filmed live in Brooklyn."
1158,80134827,Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,United States,2017,2017,TV-PG,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"Brian Regan takes relatable family humor to new heights as he talks board games, underwear elastic and looking for hot dogs in all the wrong places."
1552,80134780,Movie,"Norm Macdonald: Hitler's Dog, Gossip & Trickery",Liz Plonka,United States,2017,2017,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"In this new stand-up special, Norm Macdonald delivers sly, deadpan observations from an older _ and perhaps even wiser _ point of view."
1776,81036199,Movie,Still LAUGH-IN: The Stars Celebrate,,United States,2019,2019,TV-MA,61 min,61,Comedies,Comedies,"This celebration of the groundbreaking comedy show ""Laugh-In"" stars Lily Tomlin, Snoop Dogg, Billy Crystal, Tiffany Haddish, Neil Patrick Harris and more."
1914,80182105,Movie,Saeed Mirza: The Leftist Sufi,"Kireet Khurana, Padmakumar Narasimhamurthy",India,2017,2016,TV-MA,61 min,61,"Documentaries, International Movies",Documentaries,This documentary profiles the celebrated Hindi film director known as much for his embrace of leftist politics and social concerns as lyrical cinema.
2022,80119186,Movie,Undercover: How to Operate Behind Enemy Lines,John Ford,United States,2017,1943,TV-PG,61 min,61,"Classic Movies, Documentaries",Classic Movies,This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.
2065,81002880,Movie,Nate Bargatze: The Tennessee Kid,Ryan Polito,United States,2019,2019,TV-PG,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"Comic Nate Bargatze touches on air travel, cheap weddings, college football, chocolate milk and the perils of ordering coffee in this stand-up special."
2139,81037077,Movie,Amy Schumer Growing,Amy Schumer,United States,2019,2019,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"Amy Schumer spills on her new marriage, personal growth, making a baby and her mom's misguided advice in a special that's both raunchy and sincere."
2328,80236167,Movie,Bachelor Girls,Shikha Makan,India,2018,2016,TV-14,61 min,61,"Documentaries, International Movies",Documentaries,"Through intimate interviews, this documentary explores the stigma facing independent women who seek housing in modern Mumbai."
2669,81147766,Movie,Oprah Presents When They See Us Now,Mark Ritchie,United States,2019,2019,TV-14,61 min,61,Documentaries,Documentaries,"Oprah Winfrey talks with the exonerated men once known as the Central Park Five, plus the cast and producers who tell their story in ""When They See Us."""
2820,70250364,Movie,Katt Williams: Kattpacalypse,Marcus Raboy,United States,2018,2012,NR,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"Urban comic Katt Williams ushers in Kattpacalypse, exploding with more energy than an atomic bomb and riffing on everything from Doomsday to Obama."
3090,81077862,Movie,War Against Women,Hern_¡n Zin,"United States, Spain",2019,2013,TV-14,61 min,61,"Documentaries, International Movies",Documentaries,"Filmed over three years in 10 countries, this documentary gives voice to the women who have become victims of sexual violence as weapons of war."
3284,80196589,Movie,Fakkah Fuzz: Almost Banned,Michael McKay,Singapore,2018,2018,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.
3625,70256512,Movie,Moshe Kasher: Live in Oakland,Jay Chapman,United States,2019,2012,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,Comic Moshe Kasher returns to his home turf of Oakland for this stand-up special that has him sharing uproarious stories about the people he's met.
3825,70039645,Movie,Zach Galifianakis: Live at the Purple Onion,Michael Blieden,United States,2019,2006,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"The unorthodox, piano-playing stand-up star Zach Galifianakis makes a splash on the scene and serves up a healthy dose of his signature wit."
4245,70059483,Movie,Bill Hicks: Relentless,Chris Bould,United Kingdom,2018,1992,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"In one of his most iconic performances, late comedian Bill Hicks demonstrates what made him such a singular talent and a force to be reckoned with."
4344,80214478,Movie,Todd Barry: Spicy Honey,Jay Chapman,United States,2017,2017,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more."
5451,81041272,Movie,Francesco De Carlo: Cose di Questo Mondo,,Italy,2019,2019,TV-MA,61 min,61,Stand-Up Comedy,Stand-Up Comedy,"Taking the stage in Milan, Francesco De Carlo opens up about his bad habits, religion, politics and what he's learned from traveling the world."
13,80182483,Movie,Krish Trish and Baltiboy: Battle of Wits,"Munjal Shroff, Tilak Shetty",,2017,2013,TV-Y7,62 min,62,Children & Family Movies,Children & Family Movies,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
181,80163156,Movie,Jerry Before Seinfeld,Michael Bonfiglio,United States,2017,2017,TV-14,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Jerry Seinfeld returns to the club that gave him his start in the 1970s, mixing iconic jokes with stories from his childhood and early days in comedy."
726,80990869,Movie,"Martin Matte: La vie, la mort...eh la la..!",Jean-Fran_§ois Blais,Canada,2019,2019,TV-14,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Quebecois comedy star Martin Matte serves up embarrassing personal stories, a solution for social media trolls and more in this unpredictable special."
1232,80117534,Movie,Colin Quinn: The New York Story,Jerry Seinfeld,United States,2016,2016,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality. Directed by Jerry Seinfeld."
1320,80058424,Movie,John Mulaney: The Comeback Kid,Rhys Thomas,United States,2015,2015,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton."
1512,80216268,Movie,Roots,Shweta Basu Prasad,,2017,2016,TV-PG,62 min,62,"Documentaries, International Movies, Music & Musicals",Documentaries,This documentary explores the rich heritage of Indian classical music and the reasons behind its modern decline in popularity.
1800,81092776,Movie,Chhota Bheem Ka Romani Adventure,"Asit Mohapatra, Shyamal Chaulia",,2019,2018,TV-Y7,62 min,62,Children & Family Movies,Children & Family Movies,"Bheem and King Indraverma travel to Rome for a trading venture, but when the king of a neighboring land attacks, can Bheem__ wile and wit save the day?"
2035,80183197,Movie,Sof_­a Ni_±o de Rivera: Selecci_³n Natural,"Ra_ºl Campos, Jan Suter",Mexico,2018,2018,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Mexico's Sof_­a Ni_±o de Rivera brings her dark humor to the stage with jokes about marriage traps, sexually attractive leopards and funny funerals."
2148,80076467,Movie,Jimmy Carr: Funny Business,Sam Wrench,United Kingdom,2016,2016,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,British comedian Jimmy Carr unleashes his deadpan delivery and wickedly funny one-liners to a sold-out audience at the UK's Hammersmith Apollo.
2235,80134967,Movie,Jim Norton: Mouthful of Shame,Shannon Hartman,United States,2017,2017,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities."
2477,80237423,Movie,Miranda Sings Live_Your Welcome,Marcus Raboy,United States,2019,2019,TV-14,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry."""
3333,80195429,Movie,Harith Iskander: I Told You So,Michael McKay,United States,2018,2018,TV-PG,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, Rick Astley and more."
3355,80191988,Movie,Arango y Sanint: R_­ase el show,"Ra_ºl Campos, Jan Suter",Colombia,2018,2018,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Colombian stand-up comedians Antonio Sanint and Juli_¡n Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera."
3983,80244853,Movie,"Ken Jeong: You Complete Me, Ho",Jon M. Chu,United States,2019,2019,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"In his first-ever stand-up special, Ken Jeong pays tribute to his wife and shares stories about Hollywood and how ""The Hangover"" saved his life."
4149,80115673,Movie,Reggie Watts: Spatial,Benjamin Dickinson,United States,2016,2016,TV-MA,62 min,62,"Music & Musicals, Stand-Up Comedy",Music & Musicals,"The comic innovator delivers a surreal set blending experimental songs, jokes about grits, guns and drugs, and other improvised comedy adventures."
4375,80136548,Movie,Garfunkel and Oates: Trying to be Special,"Riki Lindhome, Jeremy Konner",United States,2016,2016,TV-MA,62 min,62,"Music & Musicals, Stand-Up Comedy",Music & Musicals,Garfunkel and Oates put on a surprise-filled show in Seattle in hopes of raising enough money to make their own comedy special.
4749,80195838,Movie,Denis Leary: No Cure For Cancer,Ted Demme,United States,2017,1992,R,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"In the stand-up performance that made him a legend, comedian Denis Leary caustically holds forth on nonsmokers, vegetarians and other undesirables."
5025,80044804,Movie,Demetri Martin: Live (At the Time),Jay Karas,United States,2015,2015,TV-MA,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Demetri Martin brings his off-kilter take on acoustic guitar, hairless cats, color schemes, and the word ""nope"" to Washington in his original special."
5315,80158976,Movie,Kevin James: Never Don't Give Up,Andy Fickman,United States,2018,2018,PG,62 min,62,Stand-Up Comedy,Stand-Up Comedy,"Kevin James makes his long-awaited return to stand-up in this family-friendly special, dishing on fatherhood, fans, his disdain for allergies and more."
152,80214464,Movie,Rafinha Bastos: Ultimatum,,Brazil,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
187,80131435,Movie,The Best of Rafa_ Rutkowski Olka Szcz__niak,,,2016,2016,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"""Recipe for Life"" star Rafa_ Rutkowski and Comedy Lab's Olka Szcz__niak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy."
188,80131375,Movie,"Tomasz Jachimek, Jacek Stramik Laugh at Live",,,2016,2016,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw."
492,81148672,Movie,Arsenio Hall: Smart & Classy,Brian Volk-Weiss,United States,2019,2019,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"In his first stand-up special, Arsenio Hall discusses getting older, the changing times and culture, social issues and even bothersome baby toes."
668,81053240,Movie,Park Na-rae: Glamour Warning,Kim Joo-hyung,South Korea,2019,2019,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Korea__ beloved comedian and favorite big sister figure talks sex, relationships and celebrity life. And she__ sassier and dirtier than ever before."
672,80244900,Movie,"Ron White: If You Quit Listening, I'll Shut Up",Tom Forrest,United States,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Ron __ater Salad_ White dishes out his signature brand of cynicism, riffing on sex, celebrity and the sinister habits of wild geese."
1655,80192137,Movie,Fernando Sanjiao: Hombre,"Ra_ºl Campos, Jan Suter",Argentina,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,Argentine actor and comedian Fernando Sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times.
1794,80192065,Movie,Carlos Ballarta: Furia _era,"Ra_ºl Campos, Jan Suter",Mexico,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.
1798,81092777,Movie,Bheemayan,Rajiv Chilaka,,2019,2018,TV-Y7-FV,63 min,63,Children & Family Movies,Children & Family Movies,"It's Diwali! To celebrate, Chhota Bheem and his friends put on a stage show of the Ramayana, re-enacting the epic story behind the festival of lights."
2005,80119190,Movie,Know Your Enemy - Japan,"Frank Capra, Joris Ivens",United States,2017,1945,TV-14,63 min,63,"Classic Movies, Documentaries",Classic Movies,"Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s."
2059,80134826,Movie,Jo Koy: Live from Seattle,Shannon Hartman,United States,2017,2017,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"Between raising a teenage boy and growing up with a Filipino mother, stand-up comic Jo Koy has been through a lot. He's here to tell you all about it."
2163,80223734,Movie,Yoo Byung Jae: Too Much Information,Yoo Byung-jae,,2018,2018,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture."
2540,80996192,Movie,Mike Epps: Only One Mike,Kevin Bray,United States,2019,2019,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more."
2619,81092783,Movie,Super Bheem Bana Vajraveer,Sumit Das,,2019,2018,TV-Y7-FV,63 min,63,Children & Family Movies,Children & Family Movies,"Hoping to find a magical root, a monster has captured farmers in the land of Vyom. It__ up to Bheem and the gang to foil his plan and save the kingdom!"
2732,80139214,Movie,Chingo Bling: They Can't Deport Us All,Luis Lopez,,2017,2017,TV-MA,63 min,63,Stand-Up Comedy,Stand-Up Comedy,"On point and larger than life, rapper and stand-up comic Chingo Bling gathers his funniest friends for a rambunctious take on Tex-Mex culture."
